Name,Code,Type,DrainArea,SubBasin,City,State,Responsib,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,QScore,QLabel,IsStudy
MANUEL DUARTE,58585000,1,3110.0,58,RIO DAS FLORES,RIO DE JANEIRO,ANA,-22.0844,-43.5589,1943-04-01,2019-12-31,77,2.5,74,3.9,0.915,Excelente,1
AFONSO ARINOS,58590000,1,3390.0,58,TRÊS RIOS,RIO DE JANEIRO,ANA,-22.0167,-43.3667,1976-01-01,1982-12-31,7,0.0,7,0.0,0.3875,Limitada,0
ESTEVÃO PINTO,58610000,1,783.0,58,MAR DE ESPANHA,MINAS GERAIS,ANA,-21.8964,-43.0414,1931-09-20,2019-12-31,89,0.1,86,3.4,0.9294,Excelente,0
ANTA,58630002,1,32700.0,58,SAPUCAIA,RIO DE JANEIRO,ANA,-22.0353,-42.9908,1922-10-13,2019-12-31,98,0.0,97,1.0,0.93,Excelente,0
SUMIDOURO,58645000,1,294.0,58,SUMIDOURO,RIO DE JANEIRO,ANA,-22.0497,-42.6775,1951-10-29,2019-12-31,69,0.0,68,1.4,0.93,Excelente,0
PAQUEQUER,58648001,1,762.0,58,CARMO,RIO DE JANEIRO,ANA,-21.8764,-42.63,1931-09-01,2010-01-31,80,10.1,59,26.2,0.7794,Excelente,0
VOLTA GRANDE,58658000,1,348.0,58,VOLTA GRANDE,MINAS GERAIS,ANA,-21.7675,-42.5397,1962-07-07,2018-12-31,57,0.4,53,7.0,0.9176,Excelente,0
FAZENDA DA BARRA (PIRAPETINGA),58670002,1,590.0,58,PIRAPETINGA,MINAS GERAIS,ANA,-21.6581,-42.3428,1960-06-08,2019-12-31,60,1.0,54,10.0,0.924,Excelente,0
USINA ITUERÉ,58710000,1,784.0,58,RIO POMBA,MINAS GERAIS,ANA,-21.305,-43.1992,1929-01-01,2019-08-31,91,2.6,82,9.9,0.9144,Excelente,0
TABULEIRO,58720000,1,322.0,58,TABULEIRO,MINAS GERAIS,ANA,-21.3547,-43.2478,1943-05-06,2019-12-31,77,0.4,72,6.5,0.9276,Excelente,0
FAZENDA FERRAZ,58725000,1,387.0,58,RIO POMBA,MINAS GERAIS,ANA,-21.35,-43.2,1930-09-01,1964-07-31,35,4.5,24,31.4,0.7105,Moderada,0
GUARANI RV,58730000,1,1660.0,58,GUARANI,MINAS GERAIS,ANA,-21.3667,-43.05,1934-01-01,1944-12-31,11,0.0,11,0.0,0.4375,Limitada,0
GUARANI,58730001,1,1650.0,58,GUARANI,MINAS GERAIS,ANA,-21.3556,-43.0503,1949-09-10,2019-12-31,71,0.6,66,7.0,0.9264,Excelente,0
ASTOLFO DUTRA,58735000,1,2350.0,58,ASTOLFO DUTRA,MINAS GERAIS,ANA,-21.3069,-42.8619,1931-12-23,2019-12-31,89,0.0,88,1.1,0.93,Excelente,0
